Artist,Title,Genre,Year,Duration,Loudness
Cockney Rejects,It's Alright Bruv,rock,2007,241.50159,-2.818
The Cat's Miaow,You Know It's True,indie rock,1997,137.29914,-12.645
Shaggy / Brian & Tony Gold,Hey Sexy Lady,reggae,2002,199.94077,-6.469
Savoy Brown,All Burned Out,blues-rock,1989,171.62404,-11.212
Jars Of Clay,Don't Stop,rock,2009,223.89506,-6.103
Richard Galliano,Les Forains,jazz,1999,190.74567,-12.7
Bad Company,Take The Time,blues-rock,1979,253.02159,-8.885
Oscar Lima,Desert Caravan,power pop,2000,230.3473,-10.6
Robert Lockwood_ Jr.,Kindhearted Woman Blues,blues,1998,162.45506,-13.158
Samy Deluxe,Sam und Bo_ N.E.O.,hip hop,2005,247.01342,-6.08
Mudhoney,"Beneath The Valley Of The Underdog (Album Version + Hidden Track ""Talkin' Randy Tate's..."")",grunge,1998,519.13098,-6.591
Francis Lai,Concerto No.3 In D: Allegro,soundtrack,1970,155.16689,-13.921
Eagles,You Never Cry Like A Lover (LP Version),country rock,1974,240.97914,-9.328
James Taylor Quartet,Got To Give It Up,jazz,2007,198.3473,-5.121
Esperanza Spalding / Leo Genovese,If That's True,jazz,2008,451.29098,-12.242
Slum Village,CB4,hip hop,2000,225.48853,-4.805
Gunther & the Sunshine Girls,Teeny Weeny String Bikini,electronic,2004,240.40444,-3.33
Eddie Turner,Resurrection,blues-rock,2005,146.1024,-5.804
Los Delinqüentes,Quítate La Ropa,flamenco,2009,192.1824,-3.853
Cam'Ron,I.B.S. (Amended Album Version),rap,2006,212.79302,-6.798
Steve Vai,The Murder Prologue,rock,2007,69.90322,-7.949
First Blood,Execution,hardcore punk,2005,283.48036,-2.525
Otis Spann,Half Ain't Been Told,piano blues,1989,283.29751,-15.029
Gustavo Santaolalla,The Blinding Sun,folk,2006,117.18485,-13.505
Twila Paris,Perfect Peace,ccm,2001,202.70975,-11.051
Iggy Pop,5 Foot 1,hard rock,1990,300.77342,-11.44
Willie Colon,Guajira Y Ven,salsa,2001,250.06975,-7.818
James Last,Games That Lovers Play,orchestra,1967,260.12689,-13.382
Kill The Client,Dog Tagged,rock,2008,57.18159,-2.541
Melissa Auf der Maur,The Key,rock,2010,232.6722,-6.413
W.A.S.P.,Phantoms In The Mirror,rock,1992,276.71465,-6.694
Throw The Fight,The Wreckage Intro (Album Version),rock,2008,23.87546,-16.853
Nolwenn Leroy,Etre Une Femme,chanson,2003,201.22077,-7.633
Kanye West,Skit #2 (Kanye West/Late Registration),hip hop,2005,31.37261,-12.352
Bad Religion,Flat Earth Society (Album Version),hardcore punk,1995,141.19138,-6.393
MxPx,Drum Machine Joy,christian rock,1995,215.24853,-5.316
The Clash,Death Or Glory,rock,1979,227.57832,-13.083
Sheek Louch,Die Slow,hip hop,2009,64.65261,-4.592
R.E.M.,Stumble,alternative rock,1982,340.11383,-13.692
Bon Jovi,Till We Ain't Strangers Anymore,rock,2008,318.09261,-6.182
A-Mei,Intro,pop,2008,71.88853,-12.015
MC5,Future/Now (LP Version),rock,1971,381.30893,-11.996
Xzibit,Carry The Weight,rap,1996,252.99546,-11.672
Dynamite Deluxe,Eimsbush bis 0711,hip hop,2000,152.92036,-7.132
The Smashing Pumpkins,Soot and Stars,rock,2001,399.98649,-9.272
Janitor Joe,Voucher,rock,1993,122.72281,-12.663
Moss,Winter In Finland,downtempo,2006,206.57587,-7.736
Rakim feat. Tracey Horton,Won't Be Long,hip hop,2009,291.97016,-6.342
Luciana Souza,Azul Contente,vocal jazz,1998,259.23873,-24.424
Juan Carlos Baglietto,Aunque Mañana No Estes,tango,1982,182.41261,-15.716
Sergio Mendes,Puzzle of Hearts,bossa nova,2006,322.11546,-13.935
Every Time I Die,After One Quarter Of A Revolution,alternative metal,2009,124.13342,-3.988
Eddie Palmieri,Nada De Ti,latin jazz,1973,392.85506,-11.876
Maroon 5,Sweetest Goodbye,rock,2002,270.70649,-6.247
LL Cool J / Amil,Hello,rap,2000,232.14975,-3.952
GZA/The Genius,Did Ya Say That,hip hop,2002,237.34812,-5.928
The Pharcyde,Passin' Me By,rap,1993,303.46404,-6.125
The Fire Theft,Chain (Album Version),indie rock,2003,223.37261,-6.137
Ayo,Watching You,reggae,2006,232.28036,-15.606
Moving Cloud,Coleman's No. 1 / Ton Double Fisel / Kiely Cotter's / How We Spent the Christmas,irish folk,2008,251.92444,-14.466
J.B.Lenoir,Let's Roll (Take 1),blues,1991,169.22077,-15.647
Thomas Dolby,She Blinded Me With Science,electronic,1982,223.45098,-10.826
Vanessa Daou,For Anything,trip hop,1996,179.93098,-13.949
Foghat,Zig-Zag Walk,hard rock,1983,208.66567,-7.792
Dexy's Midnight Runners,Seven Days Too Long,rock,1980,157.75302,-7.749
Eddy Arnold,What's He Doin' In My World,honky tonk,1967,128.96608,-11.863
DJ Guy,Freak it all Night,electronic,2009,237.08689,-8.202
Maximilian Hecker,Let Me Out,rock,2001,295.60118,-12.397
Bottom Of The Hudson,Eagle Eye,indie rock,2003,279.90159,-6.054
Big Daddy Kane,Flame On,hip hop,2001,190.82404,-9.248
Joshua Rifkin,Paragon Rag  (LP Version),ragtime,1994,229.53751,-25.342
Williamson,Cool People Make Me Tired,downtempo,2005,223.81669,-10.38
Martha Wainwright,C'est Toujours la Même Histoire,folk-pop,2009,287.08526,-11.574
Daddy Yankee / May-Be,Que Vas A Hacer?,reggaeton,2004,199.47057,-6.331
The Clash,I'm So Bored With The U.S.A.,rock,1977,140.77342,-8.331
Suzi Quatro,Born To Run,rock,1995,301.21751,-5.308
Junior Kimbrough,Lonesome Road,blues,1997,294.76526,-14.845
Los Fabulosos Cadillacs,Electrasonic V,ska,1990,137.06404,-4.695
Jason & The Scorchers,If Money Talks,rock,1985,154.8273,-3.471
Love and Rockets,Sweet Lover Hangover,dance rock,1996,311.19628,-9.356
R.L. Burnside,Rollin' and Tumblin',blues,2001,196.88444,-10.426
Rihanna,Good Girl Gone Bad,dance pop,2007,213.26322,-6.146
The Mystic Moods Orchestra,Gay Ranchero,space age pop,1967,147.33016,-21.437
Don Gibson,Evening Prayer,rock,1959,148.06159,-19.002
Baroness,Wanderlust,sludge metal,2007,269.71383,-6.013
Murderdolls,Kill Miss America (Album Version),rock,2002,147.51302,-4.063
Human Disease,Gold Flames Of Angels,rock,2004,190.79791,-6.066
Owsley,Zavelow House (Album Version),power pop,1999,221.77914,-4.23
Bone Thugs-N-Harmony,2 Glocks,rap,2000,266.05669,-5.827
Dimmu Borgir,Broderskapets ring,black metal,1996,331.04934,-4.747
Mariah Carey,Anytime You Need A Friend,dance pop,1993,652.40771,-7.863
Africando All Stars,Mopao,salsa,2003,274.25914,-8.04
Handsome Boy Modeling School,Rock And Roll (Could Never Hip Hop Like This) Part 2 featuring Lord Finesse_ Mike Shonoda_ Chester Bennington_ Rahzel_ Qbert_ Grand Wizard Theodore & Jazzy Jay (Instrumental),hip hop,2004,384.70485,-10.498
Las Niñas,Cuento De La Buena Pipa,flamenco,2003,217.62567,-7.008
Minnie Riperton,Completeness,disco,1970,212.13995,-11.799
Milk Inc.,Nothing To You,progressive trance,2003,202.10893,-7.597
Nana Caymmi,Lero Do Bolero,brazilian pop music,2001,188.65587,-10.449
Lou Reed,Sally Can't Dance,rock,1974,211.66975,-10.906
Barry Manilow,This One's For You,rock,1976,209.13587,-8.852
Stevie Ray Vaughan And Double Trouble,Tin Pan Alley (aka Roughest Place In Town),blues,2005,551.91465,-17.293
3 Doors Down,Here Without You,rock,2002,232.07138,-6.348
The Creation,Try And Stop Me,freakbeat,1967,147.69587,-9.877
Margaret Becker,Sweet Suffering Christ,electronic,1993,242.12853,-16.69
Theodore Shapiro,The Big Stall,soundtrack,2006,82.31138,-15.409
Michael Jackson,Heaven Can Wait,funk,2001,289.38404,-3.573
Taal,Noises,progressive rock,2000,17.73669,-38.148
Sub Focus,Follow The Light (Radio Edit),drum and bass,2009,214.83057,-7.016
Tha Liks,Yo Mouth (Skit),hip hop,2001,33.09669,-11.443
Egberto Gismonti,Carta De Amor,jazz,1981,1.2273,-29.106
Poncho Sanchez,Going Back To New Orleans,latin jazz,2001,282.20036,-7.151
Badmarsh & Shri,Bang,electronic,2001,263.31383,-6.715
System of a Down,Streamline,rock,2001,217.59955,-3.955
Phil Collins,One More Night,soft rock,1985,285.98812,-11.341
Session Americana,Ice Cream Man,roots rock,2007,210.31138,-8.761
Donna Fargo,Superman,classic country,1999,149.62893,-9.838
Roger Creager,The Everclear Song,singer-songwriter,1998,239.20281,-11.084
Vex'd,Disposition (feat. Jest),dubstep,2010,243.25179,-7.8
Alejandro Lerner,Todo A Pulmón,rock,1998,267.31057,-11.947
Daath,Cosmic Forge (LP Version),death metal,2006,267.78077,-2.818
Kalibas,From Ivory Towers Above The Control Grid,rock,2003,164.20526,-6.035
A Tribe Called Quest,Get A Hold,hip hop,1996,215.27465,-8.089
C.C. Adcock,Love N' Gold,zydeco,2004,272.95302,-5.521
TYR,Grial II,viking metal,2001,293.38077,-6.342
Heavenly,Over And Over,rock,1990,206.18404,-11.429
Jimi Hendrix,Lullaby For The Summer,rock,2010,228.91057,-7.048
Charly García,Bancate Ese Defecto,rock,1983,300.14649,-15.309
Temple Of The Dog,Hunger Strike,grunge,1991,243.9571,-10.847
Derek Bailey,M 14,free improvisation,1975,237.53098,-13.278
Jessica Simpson,In This Skin,teen pop,2003,258.76853,-4.964
Republica,Pub Pusher,electronic,1998,264.22812,-3.653
Toni Braxton,Best Friend,rock,1993,267.2322,-9.272
Randy Travis,On The Other Hand (Album Version),country gospel,1986,186.3571,-10.047
Spooky Tooth / Mike Harrison,I Am The Walrus,rock,1970,384.7571,-9.947
Geiom,Sellotape Flowers,dubstep,2001,365.60934,-16.691
Fleet Foxes,English House,grunge,2008,281.18159,-10.67
Gustavo Cerati,Médium,electronica,2006,333.19138,-6.996
Asleep At The Wheel,Hot Rod Lincoln,western swing,1988,399.04608,-12.712
Memphis Jug Band,Going Back To Memphis,blues,2001,146.15465,-21.852
Vince Guaraldi,Corcovado,latin jazz,1964,201.42975,-18.7
Michael Jackson,Ain't No Sunshine,funk,1972,251.66322,-11.881
Faith Hill,I Want You (Album Version),country,2005,246.09914,-9.695
Foals,Red Socks Pugie,indie rock,2008,315.27138,-6.611
Stevie Ray Vaughan And Double Trouble,Cold Shot,blues,1985,240.77016,-10.958
Marlene Dietrich,When Love Dies,chanson,1991,190.04036,-22.166
Beenie Man,Politrix,reggae,2006,213.10649,-6.109
Bombay Rockers,Rock Tha Party,hip hop,2004,212.71465,-4.336
Montserrat Caballé,The Phantom Of The Opera/Wishing You Were Somehow Here Again,rock,1994,198.13832,-15.585
Kenny Rogers,Where Does Rosie Go?,country rock,2003,135.36608,-12.965
Koordinate Of Wonders,Castle of KoFW,chill-out,2006,218.74893,-9.325
The Bug Featuring Spaceape,Fuckaz,electronic,2008,327.99302,-7.843
Carl Smith,Hey Joe,honky tonk,1993,136.04526,-11.651
Planxty,Follow Me Up To Carlow,rock,1973,139.72853,-14.322
Big Dee Irwin,Swinging On A Star,rock,1990,156.02893,-9.931
VHS Or Beta,You Got Me (The Juan Maclean Dub),rock,2006,501.13261,-6.751
King Curtis,Ode To Billie Joe  (Live @ Fillmore West),instrumental rock,2007,199.20934,-11.968
Charley Patton,Circle Round The Moon,blues,1990,154.87955,-24.774
Bobbie Gentry,Ace Insurance Man,rock,1968,214.96118,-10.736
DJ Harry,'Round the Wheel,trip hop,2001,495.90812,-9.706
Buddy Miles,Don't Keep Me Wondering,blues-rock,1997,121.02485,-9.391
Michael Jackson,Morning Glow,funk,1973,217.96526,-8.486
Amy Winehouse,In My Bed,blues,2003,274.99057,-3.154
Edgar De L'est,Slavinka,musette,2002,317.28281,-8.328
Ayo,Down On My Knees,reggae,2006,244.06159,-10.167
The Sterns,Supreme Girl,indie pop,2006,151.82322,-4.031
Cirrus,Boomerang (Reprise),breakbeat,2002,193.72363,-6.149
Pennywise,Lies,punk,2005,242.33751,-5.808
Pink Floyd,Matilda Mother (Stereo) (2007 Remaster),rock,1967,187.42812,-10.813
Terror Squad / Remy / Prospect / Armageddon,Hum Drum,hip hop,2004,251.89832,-5.511
Darden Smith,Perfect Moment,blues-rock,2002,270.62812,-17.864
Los Indios Tabajaras,Sueño Salvaje,jazz,1997,171.28444,-18.696
Jennifer Lopez featuring Ja Rule,I'm Real,dance pop,2001,263.20934,-8.147
Daddy Yankee,Llamado De Emergencia,reggaeton,2008,239.882,-4.335
Happy Mondays,Olive Oil,rock,1987,156.682,-13.229
Lords Of The Underground,Check It (Explicit),hip hop,1993,264.69832,-8.611
Weezer,I Don't Want To Let You Go,rock,2009,228.44036,-10.571
Trivium,Into The Mouth Of Hell We March [Explicit],alternative metal,2008,352.02567,-3.18
Pascal Sangla,Assis par terre,french pop,2010,333.76608,-10.621
Blue Rodeo,Million Miles,country rock,2009,543.97342,-8.249
Bad Brains,At The Movies (1991 Digital Remaster),rock,1983,136.38485,-9.233
Cybertribe,Cry Of The Earth,downtempo,1998,387.97016,-12.068
Laurie Berkner,Ice Cream Cone,singer-songwriter,2001,169.37751,-16.895
Robin Fox,Wonderland,breakbeat,2001,515.65669,-7.785
Incubus,A Crow Left Of The Murder,rock,2004,227.73506,-5.606
Mariano Yanani,I Still Haven't Found What I'm Looking For,lullaby,2003,180.00934,-13.943
Adam Ant,Goody Two Shoes,rock,1982,202.97098,-3.402
Dishwalla,Moisture,post-grunge,1995,540.42077,-6.676
Seventh Star,I Versus I,rock,2007,184.842,-4.684
Aesop Rock,Train Buffer,indie,2002,243.56526,-5.683
Rakim,Skit,hip hop,1997,19.12118,-18.83
Devo,Going Under,rock,1981,205.50485,-16.619
Aiden,She Will Love You (Album Version),emo,2007,258.82077,-5.249
Wailing Souls,Firehouse Rock,reggae,1980,255.4771,-5.788
Nightwish,The Poet And The Pendulum,heavy metal,2007,834.66404,-6.003
Klaus Badelt,Time Travel,soundtrack,2002,275.19955,-16.683
Tony Joe White,Menutha,country rock,1999,252.1073,-9.653
Dub Pistols feat. TK,Revitalise,electronic,2009,264.82893,-5.603
Steinski,Silent Partner (Peace Out),hip hop,2003,52.4273,-18.604
Tranzas,Un nuevo amor (version salsa),salsa,2000,184.21506,-6.991
Shinehead,Olivia,reggae,1999,230.71302,-9.893
Drowning Pool,Reborn (Explicit),alternative metal,2007,248.78975,-6.379
Faithless,Salva Mea,electronica,1995,221.98812,-9.0
RyanDan,Wind Beneath My Wings,pop,2007,255.76444,-9.81
Aiden,Black Market Hell,emo,2009,759.09179,-7.192
Francis Dunnery,The Possibilities of Loving You,singer-songwriter,1991,216.37179,-8.023
Carl Smith,Hey Joe,honky tonk,1993,151.24853,-10.208
Audio Adrenaline,My God  (Audio Adrenaline Album Version),ccm,1992,219.11465,-9.024
Deep Forest,Green And Blue,electronica,1997,294.39955,-9.894
Obie Bermudez,Antes (Salsa Version),singer-songwriter,2003,271.25506,-4.561
Mariano Yanani,Why Should I Cry For You,lullaby,2005,180.71465,-18.018
James Taylor Quartet,Cleo's Mood,jazz,2007,188.94322,-2.775
Gertrudis,Oye,dub,2005,263.47057,-7.961
The Knux,Bang! Bang!,rap,2008,200.25424,-4.825
Between The Buried And Me,Kickstart My Heart (Album Version),progressive rock,2006,295.28771,-5.493
The Motors,You Beat The Hell Outta Me,rock,1977,207.85587,-11.947
Paul Carrack,Dedicated,blue-eyed soul,1989,324.46649,-14.241
Weedeater,Monkey Junction,stoner metal,2001,269.00853,-9.036
At The Gates,City Of Screaming Statues,death metal,1991,286.04036,-8.068
Elvenking,Pathfinders,heavy metal,2004,322.55955,-4.516
Neil Diamond,Hey Louise,rock,1980,181.15873,-14.343
Kings Of Leon,Ragoo,southern rock,2007,181.13261,-6.391
Les Hou-Lops,Quand on est amoureux,freakbeat,1964,181.86404,-5.144
Richard Hell & The Voidoids,Another World (Album Version),rock,1977,494.10567,-14.009
Love Jones,I Like Young Girls,alternative,1993,182.72608,-7.327
Eastmountainsouth,Hard Times,singer-songwriter,2003,225.61914,-8.843
V'ro,Softcore,zouk,2003,282.53995,-6.982
Charlie Peacock,Tears Falling Down,ccm,1988,180.13995,-12.094
The Gone Jackals,Drop The Hammer,rock,1995,220.49914,-14.007
Kane,My Heart's Desire,blues-rock,2004,261.3024,-13.869
Art Ensemble Of Chicago,Sirius Calling,free jazz,2004,207.09832,-12.326
Ray Price,Make The World Go Away,honky tonk,1989,125.1522,-12.818
Sun Yan-Zi,Abscondence,pop,2001,285.962,-6.779
Junior Reid,"Boom-Shack-A-Lack (12"" Mmix / Bonus Tra)",reggae,1998,326.00771,-8.28
Alphonse Mouzon,The Ram And The Scorpio,jazz,1977,355.21261,-8.127
Mando Diao,Popovic,garage rock,2006,306.18077,-4.118
Dimmu Borgir,Puritania,black metal,2001,186.56608,-3.086
Louis Prima And Keely Smith,I've Got You Under My Skin,jazz,1960,159.16363,-12.675
Ramesses,Unholy Outburst #3,doom metal,2005,608.7571,-8.259
Maroon 5,Harder To Breathe,rock,2002,173.66159,-4.757
Dusminguet,Disco Jonki,ska,1998,168.69832,-8.275
Trentemoller,In Progress (Original Mix),techno,2009,368.74404,-9.915
The Dillinger Escape Plan,Parasitic Twins,grindcore,2010,281.23383,-6.991
Jack Off Jill,Yellow Brick Road,rock,1994,137.9522,-11.877
Hevia,Albo,rock,2007,280.2673,-4.936
Walter Ego,Purple Pygmies,dub,1998,535.45751,-10.44
CMW - Compton's Most Wanted,This Is A Gang,gangster rap,1992,217.62567,-11.36
Anthony Blea Y Su Charanga,Tumba Randy,salsa,2004,459.28444,-5.434
Dilated Peoples Featuring Capleton,Firepower (The Tables Have to Turn) (Explicit) (Feat. Capleton),hip hop,2006,311.06567,-4.08
Daddy Yankee,Baila Girl_ Todo Hombre Llorando Por Ti,reggaeton,2003,181.34159,-7.421
Righteous Brothers,Little Latin Lupe Lu,blue-eyed soul,1975,130.0371,-11.47
Rodney O & Joe Cooley,Party,hip hop,2002,252.23791,-14.6
Kane,Rain Down On Me,blues-rock,2001,395.83302,-5.538
Vangelis,El Greco: Movement III,progressive rock,1998,408.00608,-20.42
Sam Fan Thomas,African Typic Collection,folk,1989,397.58322,-13.856
Gregory Isaacs,Down the Line,reggae,1979,219.402,-11.999
Sara Melson,Anywhere Anytime,rock,2008,164.12689,-4.638
Los Auténticos Decadentes,El Gran Señor,rock,1997,205.06077,-6.203
Roy Buchanan,Hey Joe,blues,1974,329.66485,-8.88
Café Quijano,En Algún Rincón,rock,1999,255.39873,-5.635
Eminem,The Way I Am,hip hop,2000,292.25751,-2.274
Lily Allen,22 (Acoustic),ska,2009,187.24526,-8.295
Atari Teenage Riot,Revolution Action,breakcore,1999,249.46893,-5.547
Scott Weiland,The Date ( LP Version ),hard rock,1998,321.01832,-5.328
Kris Kristofferson,Killer Barracuda,western swing,1995,183.06567,-17.312
James Carter,Dodo's Bounce,jazz,2008,366.0273,-18.826
Pierre Perret,Le poulet,electronic,1994,90.46159,-11.372
Long Beach Dub Allstars,Kablammin' It,dub,2001,282.61832,-3.834
Soilent Green,Daydreaming the Color of Blood,grindcore,2001,180.32281,-5.958
Pursuit Of Happiness,Killed By Love,hard rock,1988,245.10649,-9.623
Venice,All My Life (LP Version),folk-pop,1990,301.08689,-8.38
The Last Days Of Jesus,Life In Line,rock,2004,209.55383,-6.248
Photek,Terminus,electronic,2000,326.922,-7.272
Agnostic Front,Rock Star,heavy metal,1999,94.6673,-3.199
Twista,It Feels So Good (Album Version),rap,1997,368.03873,-6.828
León Gieco,Ruta Del Coya,folk rock,2002,266.762,-10.423
2raumwohnung,Lachen und weinen,indie pop,2001,335.17669,-9.322
Placebo,The Never-Ending Why,rock,2009,221.6224,-5.176
Louisa Mark,Keep It Like It Is,reggae,2003,156.52526,-14.29
Gonzalo Rubalcaba,Infantil (Dedicated to John McLaughlin),latin jazz,2008,424.51546,-12.205
Tania Maria,Come With Me,latin jazz,1983,325.66812,-12.861
Cookie Crew,"Got To Keep On (12"" Version)",hip hop,1989,282.33098,-10.713
Moving Ninja,Lost Tribe,dubstep,2005,287.00689,-8.717
Sex Pistols,Pretty Vacant,punk,1977,194.58567,-6.758
Evergreen Terrace,Please Hammer Don't Hurt 'Em,metalcore,2002,143.882,-5.983
Bessie Smith,Gin House Blues,jazz,2007,195.70893,-21.782
Death SS,The Healer,rock,2006,258.29832,-7.009
Kings Of Leon,Day Old Blues,southern rock,2004,212.97587,-10.831
Sylvia Tosun,Head Over Heels,rock,2004,575.79057,-6.319
KT Tunstall,Boo Hoo,rock,2005,295.07873,-7.272
Cherish The Ladies,The Shaskeen / Gan Ainm,irish folk,1999,134.81751,-16.831
Jennifer Lopez,Play,dance pop,2001,211.56526,-1.81
Eagles,I Don't Want To Hear Any More,country rock,2007,261.17179,-6.182
Dead Kennedys,The Man with the Dogs,rock,1979,182.04689,-4.058
Johnny Osbourne,Folly Ranking,reggae,2007,202.03057,-13.637
Poncho Sanchez,Co Co My My,latin jazz,2002,307.09506,-12.995
Britt Nicole,Good Day,ccm,2007,203.78077,-3.092
Winds Of Plague,Soldiers Of Doomsday ,death metal,2009,246.04689,-3.263
Juana Molina,Micael,electronic,2006,183.64036,-12.055
Workhorse,Serus,dirty south rap,2007,349.6224,-6.581
Zebra,Take Your Fingers From My Hair  (LP Version),hard rock,1983,441.52118,-10.155
A Tundra,The Doug McComb Over,electronica,2010,271.3073,-9.698
Deep Puddle Dynamics,June 26th_ 1999 - Slight,hip hop,1999,353.07057,-5.756
Daler Mehndi,Teri Nau Ke Paune Teen,bhangra,2000,245.49832,-4.462
Snowgoons,Real World,hip hop,2007,212.32281,-4.751
Vex'd,Canyon,dubstep,2005,365.03465,-7.566
The Statler Brothers,White Christmas,country gospel,1994,140.69506,-12.361
Hatebreed,Supertouch/shitfit (Bad Brains),hardcore punk,2009,141.50485,-4.571
Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")",rock,1996,274.57261,-7.722
Ty Herndon,A Man Holdin' On (To A Woman Lettin' Go),folk,1998,217.15546,-8.809
Sugar Ray,Mean Machine (Remastered LP Version),rock,2005,161.82812,-4.068
The Jeff Healey Band,My Little Girl,blues,1988,223.92118,-7.457
Gabriel Yared,Ship in a Painting,soundtrack,2007,100.0224,-15.417
Janis Joplin,Down On Me,rock,1972,183.14404,-11.864
Enrique Iglesias,Do You Know? (The Ping Pong Song),dance pop,2007,222.14485,-5.01
Rainbow,Rainbow Eyes,hard rock,1978,454.1122,-23.44
Shamen,Phorever People,electronic,1992,292.28363,-11.197
Taylor Swift,Should've Said No,pop,2006,245.78567,-4.954
Amil,Anyday,hip hop,2000,248.5024,-8.183
Atreyu,The Remembrance Ballad (Album Version),post-hardcore,2004,267.17995,-4.6
Shelly Manne,Get Me To The Church On Time,hard bop,1996,255.39873,-18.623
Luiz Bonfa,Santeleco,samba,2005,141.40036,-15.263
Los Auténticos Decadentes,Que Vas A Hacer Conmigo,rock,2004,205.37424,-5.634
Modern Lovers,She cracked,rock,1976,260.62322,-12.502
Beastie Boys,Shadrach,hip hop,1989,247.7971,-15.059
Boney James And Rick Braun,Shake It Up (Album Version),dubstep,2000,243.48689,-5.58
Liquid Stranger,We Meet at Last,electronic,2007,551.54893,-11.582
Percy Faith And His Orchestra,The Song From Moulin Rouge,easy listening,1953,220.15955,-14.837
Marc Shaiman,We're New Yorkers Now!,soundtrack,1999,154.122,-17.548
Spok Frevo Orquestra,Passo De Anjo,frevo,2007,269.73995,-6.719
Bob Newhart,Herb Philbrick - Counter Spy ( LP Version ),comedy,1961,72.33261,-12.043
Teena Marie,Help Youngblood Get To the Freaky Party,disco,1984,345.67791,-12.23
Jope Ruonansuu,Työnnä kännykkä hanuriin,parody,2002,175.41179,-5.136
Primordial,The Burning Season (Live),black metal,1998,508.3424,-10.141
Jason Mraz,Did You Get My Message?  (Live From Shubas),rock,2007,336.43057,-10.26
Bravehearts,Sensations,hip hop,2003,209.03138,-10.212
Jimmy Cliff,Let's Seize The Time,reggae,1973,301.71383,-7.449
2 Minutos,Como Caramelo De Limón,punk,1994,129.48853,-11.504
Bill Laswell,Digitaria,electronic,1996,381.30893,-9.232
30 Seconds To Mars,Night of the Hunter (Static Revenger Remix),rock,2009,297.53424,-5.157
George Lopez,Kids Now,california,2006,215.7971,-14.401
Cam'Ron,Do Ya Thing (Remix) (Explicit Album Version),rap,2006,174.88934,-5.797
Mikey Dread,The Jumping Master,reggae,1981,309.83791,-7.325
Grandpa Jones,Falling Leaves,bluegrass,1995,158.71955,-11.145
Phantomsmasher,Bishop Hopping,post rock,2002,382.14485,-6.291
Philly's Most Wanted,Y'all Can't Never Hurt Us (Clean Version),hip hop,2001,242.25914,-6.355
Cross Country,Tastes So Good To Me,progressive house,2009,189.962,-8.165
Hatebreed,Boxed In (Subzero),hardcore punk,2009,179.17342,-4.011
Converge,Dark Horse,heavy metal,2009,174.75873,-3.373
Falco,Junge Römer,new wave,1991,271.09832,-5.928
Arctic Monkeys,Dancing Shoes,rock,2004,141.13914,-4.526
Circle Jerks,Paid Vacation,rock,1980,88.89424,-7.545
James Newton Howard,Photographs,soundtrack,1999,54.96118,-37.456
Lonestar,Amie,country,1997,245.7073,-7.786
Sierra Maestra,No Me Llores Más,charanga,1994,318.56281,-10.11
The Bug Featuring Ricky Ranking,Judgement,electronic,2008,309.28934,-9.376
Silverstein,BLEEDS NO MORE (Live Version),emo,2006,256.46975,-3.573
Madonna,Jump [Jacques Lu Cont Edit],dance pop,2006,320.1824,-7.288
All Girl Summer Fun Band,Rewind,rock,2008,138.97098,-14.927
BT,Mercury & Solace,rock,2000,506.27873,-11.59
Skeeter Davis,My Last Date (With You),rock,1988,153.49506,-10.487
John Mayall & The Bluesbreakers,All Your Love,blues,1966,214.69995,-8.441
Leroy Van Dyke,If A Woman Answers,rock,1962,124.52526,-18.57
Al DiMeola,July,jazz,1992,319.84281,-10.176
Bad Brains,At The Atlantis,rock,1996,118.04689,-8.435
Lightnin' Slim,My Babe,swamp blues,1997,177.68444,-16.554
Annie Blanchard,Sur L'autre rive,pop folk,2007,260.80608,-11.841
Seal,The Beginning (Giro E Giro Mix),dance pop,1991,368.06485,-12.1
The Chap,What's Love Got to Do With It,rock,2008,216.2673,-7.507
Memphis La Blusera,Amigo mío,blues,2001,221.64853,-6.246
Redman,Jam 4 U,hip hop,1992,185.83465,-7.184
Kelly Clarkson,Never Again,teen pop,2007,368.92689,-7.562
Dave Weckl,Just An Illusion,hard house,1994,311.01342,-11.638
Foo Fighters,Next Year,rock,1999,274.65098,-4.203
Usher,I Need Love,hip hop,1999,32.41751,-14.434
Uphill Battle,Memory,grindcore,2002,210.36363,-6.472
Rance Allen Group,The Painter,jazz,2006,201.27302,-11.202
Grant Geissman,Chaco (Album Version),smooth jazz,1993,307.40853,-11.143
The Misfits,She (1997 Digital Remaster),hardcore punk,1996,82.1024,-8.294
Café Quijano,Poesía De Amor,rock,1998,262.37342,-9.37
Sex Pistols,Seventeen,punk,1977,129.93261,-6.458
Grayson Capps,Give It To Me,blues-rock,2006,124.18567,-7.109
Patrick Bruel,L'Appart,cabaret,1991,263.94077,-17.855
Inspiral Carpets,Commercial Reign,rock,1990,283.32363,-4.422
Hey Colossus,The Book of Disquiet,stoner metal,2007,420.07465,-10.017
Skeeter Davis,Am I That Easy To Forget,rock,1995,125.77914,-12.945
Thrice,The Earth Will Shake,rock,2005,329.7171,-9.458
Snow Patrol,Just Say Yes,rock,2009,284.1073,-5.519
Eric Burdon,Ghetto Child,rock,1997,318.37995,-11.164
Goatwhore,Gravedom,black metal,2000,205.63546,-8.644
DJ Godfather,Intro,electro,1998,53.21098,-14.853
Fehlfarben,Magnificent Obsession,rock,1983,291.13424,-8.978
